gyan_id,user_id,submission_date,link,category
138,29,2020-01-18,https://medium.com/@Liamiscool/a-list-of-artificial-intelligence-tools-you-can-use-today-for-personal-use-1-3-7f1b60b6c94f,"Machine Learning"
139,44,2020-01-18,https://towardsdatascience.com/how-much-math-do-you-really-need-in-data-science-821ad101d394,"Data Science"
140,6,2020-01-18,https://www.zdnet.com/article/google-reveals-new-python-programming-language-course-scholarships-for-2500/,Python
141,45,2020-01-18,https://towardsdatascience.com/the-5-basic-statistics-concepts-data-scientists-need-to-know-2c96740377ae,"Data Analytics"
142,40,2020-01-18,https://www.kdnuggets.com/2020/01/future-machine-learning.html,"Machine Learning"
149,49,2020-01-19,https://www.zdnet.com/article/netflix-python-programming-language-is-behind-every-film-you-stream/,Python
150,35,2020-01-19,https://towardsdatascience.com/beautiful-code-ad8a0c6b19,General
151,43,2020-01-19,https://www.geeksforgeeks.org/top-5-artificial-intelligenceai-predictions-in-2020/,"Artificial Intelligence"
152,38,2020-01-19,https://www.gartner.com/smarterwithgartner/gartner-top-10-strategic-technology-trends-for-2020/,Career
153,44,2020-01-19,https://towardsdatascience.com/data-visualization-box-plot-989b69967834,"Data Science"
154,11,2020-01-19,https://medium.com/@davoh/how-robot-priests-will-change-human-spirituality-913a19386698?source=email-52c790db34c9-1579377650130-digest.reader------0-49------------------b8a63063_e500_4165_867b_e75acdbfadb3-11-----&sectionName=topic,"Machine Learning"
155,45,2020-01-19,https://towardsdatascience.com/the-actual-difference-between-statistics-and-machine-learning-64b49f07ea3,General
159,82,2020-01-19,https://opensource.com/article/20/1/python-journal,Python
160,67,2020-01-19,https://www.datacamp.com/community/blog/breakthroughs-big-data-science-2017,"Data Science"
161,68,2020-01-19,https://gadgets.ndtv.com/science/news/elon-musks-spacex-to-simulate-rocket-failure-in-final-astronaut-capsule-test-2165990,General
162,76,2020-01-19,https://automatetheboringstuff.com/,Python
163,95,2020-01-19,https://www.analyticsinsight.net/top-10-machine-learning-courses-for-2020/,"Machine Learning"
164,75,2020-01-19,https://www.microsoft.com/en-us/ai/ai-lab-sketch2code,"Artificial Intelligence"
165,94,2020-01-19,https://www.nature.com/articles/s41598-019-57274-1,"Machine Learning"
166,77,2020-01-19,https://youtu.be/ARIZnaMXTEU,General
